COMMODITY,Commodity,VARIABLE,Variable,TIME,Value,,Flags
BV,Beef and veal,QP,Production,1990,1001.288,,
BV,Beef and veal,QP,Production,1991,1019.275,,
BV,Beef and veal,QP,Production,1992,972.309,,
BV,Beef and veal,QP,Production,1993,887.369,,
BV,Beef and veal,QP,Production,1994,946.327,,
BV,Beef and veal,QP,Production,1995,1001.288,,
BV,Beef and veal,QP,Production,1996,709.496,,
BV,Beef and veal,QP,Production,1997,687.511,,
BV,Beef and veal,QP,Production,1998,698.503,,
BV,Beef and veal,QP,Production,1999,678.518,,
BV,Beef and veal,QP,Production,2000,704.499,,
BV,Beef and veal,QP,Production,2001,644.646,,
BV,Beef and veal,QP,Production,2002,694.295,,
BV,Beef and veal,QP,Production,2003,703.223,,
BV,Beef and veal,QP,Production,2004,723.644,,
BV,Beef and veal,QP,Production,2005,764.806,,
BV,Beef and veal,QP,Production,2006,852.15,,
BV,Beef and veal,QP,Production,2007,888.472,,
BV,Beef and veal,QP,Production,2008,866.022,,
BV,Beef and veal,QP,Production,2009,823.356,,
BV,Beef and veal,QP,Production,2010,897.447,,
BV,Beef and veal,QP,Production,2011,931.479,,
BV,Beef and veal,QP,Production,2012,876.928,,
BV,Beef and veal,QP,Production,2013,840.228,,
BV,Beef and veal,QP,Production,2014,871.373,,
BV,Beef and veal,QP,Production,2015,880.41,,
BV,Beef and veal,QP,Production,2016,916.443,,
BV,Beef and veal,QP,Production,2017,904.344,,
BV,Beef and veal,QP,Production,2018,900.685,,
BV,Beef and veal,QP,Production,2019,917.167,,
BV,Beef and veal,QP,Production,2020,853.194,,
BV,Beef and veal,QP,Production,2021,872.383,,
BV,Beef and veal,QP,Production,2022,857.408,,
BV,Beef and veal,QP,Production,2023,842.668,,
BV,Beef and veal,QP,Production,2024,827.378,,
BV,Beef and veal,QP,Production,2025,811.923,,
BV,Beef and veal,QP,Production,2026,796.603,,
BV,Beef and veal,QP,Production,2027,781.386,,
BV,Beef and veal,QP,Production,2028,766.189,,
BV,Beef and veal,QP,Production,2029,750.963,,
BV,Beef and veal,QP,Production,2030,735.746,,
BV,Beef and veal,QC,Consumption,1990,1102.267,,
BV,Beef and veal,QC,Consumption,1991,1124.156,,
BV,Beef and veal,QC,Consumption,1992,1086.1,,
BV,Beef and veal,QC,Consumption,1993,927.77,,
BV,Beef and veal,QC,Consumption,1994,940.917,,
BV,Beef and veal,QC,Consumption,1995,983.175,,
BV,Beef and veal,QC,Consumption,1996,813.372,,
BV,Beef and veal,QC,Consumption,1997,862.714,,
BV,Beef and veal,QC,Consumption,1998,853.618,,
BV,Beef and veal,QC,Consumption,1999,855.597,,
BV,Beef and veal,QC,Consumption,2000,892.427,,
BV,Beef and veal,QC,Consumption,2001,899.846,,
BV,Beef and veal,QC,Consumption,2002,983.047,,
BV,Beef and veal,QC,Consumption,2003,999.685,,
BV,Beef and veal,QC,Consumption,2004,1033.938,,
BV,Beef and veal,QC,Consumption,2005,1037.45,,
BV,Beef and veal,QC,Consumption,2006,1069.418,,
BV,Beef and veal,QC,Consumption,2007,1090.472,,
BV,Beef and veal,QC,Consumption,2008,1060.779,,
BV,Beef and veal,QC,Consumption,2009,1022.208,,
BV,Beef and veal,QC,Consumption,2010,1075.546,,
BV,Beef and veal,QC,Consumption,2011,1062.388,,
BV,Beef and veal,QC,Consumption,2012,1039.903,,
BV,Beef and veal,QC,Consumption,2013,1023.414,,
BV,Beef and veal,QC,Consumption,2014,1060.65,,
BV,Beef and veal,QC,Consumption,2015,1094.539,,
BV,Beef and veal,QC,Consumption,2016,1107.884,,
BV,Beef and veal,QC,Consumption,2017,1115.877,,
BV,Beef and veal,QC,Consumption,2018,1125.491,,
BV,Beef and veal,QC,Consumption,2019,1067.216,,
BV,Beef and veal,QC,Consumption,2020,1098.194,,
BV,Beef and veal,QC,Consumption,2021,1119.025,,
BV,Beef and veal,QC,Consumption,2022,1119.802,,
BV,Beef and veal,QC,Consumption,2023,1121.576,,
BV,Beef and veal,QC,Consumption,2024,1124.482,,
BV,Beef and veal,QC,Consumption,2025,1126.865,,
BV,Beef and veal,QC,Consumption,2026,1127.941,,
