DATE,beef,pork
1972-01-01,68.3595,41.048
1972-02-01,67.7526,42.0292
1972-03-01,69.366,44.3978
1972-04-01,72.3729,42.3439
1972-05-01,73.6396,41.7792
1972-06-01,72.3449,41.2224
1972-07-01,68.6299,40.2623
1972-08-01,72.546,41.7445
1972-09-01,72.3722,40.5165
1972-10-01,71.179,41.7698
1972-11-01,69.817,41.5178
1972-12-01,70.4925,39.8482
1973-01-01,68.4397,39.4106
1973-02-01,68.0945,39.1924
1973-03-01,66.1761,38.3424
1973-04-01,60.4665,37.034
1973-05-01,68.8602,41.1596
1973-06-01,66.5603,38.2729
1973-07-01,66.7486,38.5348
1973-08-01,59.9846,36.8526
1973-09-01,65.3294,36.2245
1973-10-01,67.2949,37.9761
1973-11-01,68.4098,38.1824
1973-12-01,68.6584,38.3005
1974-01-01,68.578,41.0915
1974-02-01,64.6962,39.2446
1974-03-01,70.8267,40.3134
1974-04-01,71.1275,41.1567
1974-05-01,71.888,44.0709
1974-06-01,71.1716,41.0688
1974-07-01,70.6537,40.7277
1974-08-01,68.369,40.4976
1974-09-01,68.3351,40.5946
1974-10-01,68.3756,37.7848
1974-11-01,67.947,35.9075
1974-12-01,67.5409,36.1367
1975-01-01,67.4977,35.3486
1975-02-01,67.2975,34.708
1975-03-01,67.1518,31.8713
1975-04-01,65.3539,33.5442
1975-05-01,64.1044,31.2782
1975-06-01,64.5323,32.0757
1975-07-01,64.8485,30.9106
1975-08-01,66.9335,28.7959
1975-09-01,69.1699,29.7921
1975-10-01,70.1302,28.3916
1975-11-01,70.6142,29.8511
1975-12-01,69.9577,32.1764
1976-01-01,73.8108,32.2301
1976-02-01,74.3758,32.4523
1976-03-01,80.2192,34.8888
1976-04-01,76.0723,33.7945
1976-05-01,77.3331,33.537
1976-06-01,79.1724,34.2515
1976-07-01,80.2768,35.867
1976-08-01,81.7649,39.626
1976-09-01,83.2848,39.1428
1976-10-01,79.3091,41.7729
1976-11-01,76.4804,41.9195
1976-12-01,77.4403,39.9253
1977-01-01,78.4829,38.8804
1977-02-01,79.0259,40.9745
1977-03-01,79.4606,41.9082
1977-04-01,78.8471,39.7694
1977-05-01,77.9921,39.7357
1977-06-01,81.2542,39.6006
1977-07-01,78.8962,38.5174
1977-08-01,78.6101,39.9733
1977-09-01,77.8794,40.9702
1977-10-01,75.8322,40.4796
1977-11-01,76.5929,41.643
1977-12-01,77.1951,39.9398
1978-01-01,76.497,39.8834
1978-02-01,79.6481,41.9434
1978-03-01,79.2198,41.2413
1978-04-01,79.7718,40.684
1978-05-01,79.9688,42.0972
1978-06-01,75.8381,41.8492
1978-07-01,77.2254,44.0976
1978-08-01,77.1113,42.7149
1978-09-01,77.1744,42.5459
1978-10-01,77.8775,42.3568
1978-11-01,78.5975,43.6639
1978-12-01,77.9532,44.7282
1979-01-01,76.371,43.7461
1979-02-01,72.3565,43.6545
1979-03-01,71.0892,45.8384
1979-04-01,68.3462,48.1389
1979-05-01,70.2941,50.6878
1979-06-01,70.3271,51.1025
1979-07-01,70.7709,56.2658
1979-08-01,72.5777,54.4353
1979-09-01,67.5321,50.8053
1979-10-01,70.271,55.3592
1979-11-01,70.1374,53.6572
1979-12-01,70.5727,53.7449
1980-01-01,70.6018,55.9765
1980-02-01,70.6904,54.9015
1980-03-01,69.9711,53.967
1980-04-01,72.4932,56.9144
1980-05-01,72.6191,58.203
1980-06-01,71.8232,56.0818
1980-07-01,72.0079,53.9839
1980-08-01,70.8878,51.0875
