LOCATION,Country,Commodity,TIME,Value
AUS,Australia,Beef and veal,1990,0
AUS,Australia,Beef and veal,1991,33.636
AUS,Australia,Beef and veal,1992,32.964
AUS,Australia,Beef and veal,1993,30.751
AUS,Australia,Beef and veal,1994,27.942
AUS,Australia,Beef and veal,1995,28.418
AUS,Australia,Beef and veal,1996,32.754
AUS,Australia,Beef and veal,1997,32.347
AUS,Australia,Beef and veal,1998,30.518
AUS,Australia,Beef and veal,1999,31.307
AUS,Australia,Beef and veal,2000,33.37
AUS,Australia,Beef and veal,2001,27.61
AUS,Australia,Beef and veal,2002,28.962
AUS,Australia,Beef and veal,2003,30.667
AUS,Australia,Beef and veal,2004,33.589
AUS,Australia,Beef and veal,2005,28.932
AUS,Australia,Beef and veal,2006,31.471
AUS,Australia,Beef and veal,2007,26.244
AUS,Australia,Beef and veal,2008,26.802
AUS,Australia,Beef and veal,2009,27.187
AUS,Australia,Beef and veal,2010,28.547
AUS,Australia,Beef and veal,2011,26.485
AUS,Australia,Beef and veal,2012,26.349
AUS,Australia,Beef and veal,2013,28.386
AUS,Australia,Beef and veal,2014,28.318
AUS,Australia,Beef and veal,2015,26.156
AUS,Australia,Beef and veal,2016,23.475
AUS,Australia,Beef and veal,2017,22.992
AUS,Australia,Beef and veal,2018,32.139
AUS,Australia,Beef and veal,2019,30.28
AUS,Australia,Beef and veal,2020,28.019
AUS,Australia,Beef and veal,2021,28.247
AUS,Australia,Beef and veal,2022,28.164
AUS,Australia,Beef and veal,2023,28.094
AUS,Australia,Beef and veal,2024,28.071
AUS,Australia,Beef and veal,2025,27.812
AUS,Australia,Beef and veal,2026,27.789
AUS,Australia,Beef and veal,2027,27.77
AUS,Australia,Beef and veal,2028,27.753
AUS,Australia,Beef and veal,2029,27.735
AUS,Australia,Beef and veal,2030,27.716
CAN,Canada,Beef and veal,1990,25.002
CAN,Canada,Beef and veal,1991,24.456
CAN,Canada,Beef and veal,1992,23.83
CAN,Canada,Beef and veal,1993,22.805
CAN,Canada,Beef and veal,1994,23.226
CAN,Canada,Beef and veal,1995,23.309
CAN,Canada,Beef and veal,1996,23.048
CAN,Canada,Beef and veal,1997,23.106
CAN,Canada,Beef and veal,1998,23.379
CAN,Canada,Beef and veal,1999,23.8
CAN,Canada,Beef and veal,2000,23.411
CAN,Canada,Beef and veal,2001,22.5
CAN,Canada,Beef and veal,2002,22.415
CAN,Canada,Beef and veal,2003,23.655
CAN,Canada,Beef and veal,2004,22.711
CAN,Canada,Beef and veal,2005,21.994
CAN,Canada,Beef and veal,2006,21.711
CAN,Canada,Beef and veal,2007,22.146
CAN,Canada,Beef and veal,2008,21.473
CAN,Canada,Beef and veal,2009,20.434
CAN,Canada,Beef and veal,2010,20.305
CAN,Canada,Beef and veal,2011,19.804
CAN,Canada,Beef and veal,2012,20.012
CAN,Canada,Beef and veal,2013,19.813
CAN,Canada,Beef and veal,2014,19.177
CAN,Canada,Beef and veal,2015,17.633
CAN,Canada,Beef and veal,2016,18.316
CAN,Canada,Beef and veal,2017,18.274
CAN,Canada,Beef and veal,2018,18.446
CAN,Canada,Beef and veal,2019,18.254
CAN,Canada,Beef and veal,2020,17.491
CAN,Canada,Beef and veal,2021,17.837
CAN,Canada,Beef and veal,2022,17.865
CAN,Canada,Beef and veal,2023,17.661
CAN,Canada,Beef and veal,2024,17.563
CAN,Canada,Beef and veal,2025,17.143
CAN,Canada,Beef and veal,2026,17.022
CAN,Canada,Beef and veal,2027,16.856
CAN,Canada,Beef and veal,2028,17.016
CAN,Canada,Beef and veal,2029,16.986
CAN,Canada,Beef and veal,2030,16.749
CHL,Chile,Beef and veal,1990,12.937
CHL,Chile,Beef and veal,1991,12.533
CHL,Chile,Beef and veal,1992,12.06
CHL,Chile,Beef and veal,1993,13.539
CHL,Chile,Beef and veal,1994,14.48
CHL,Chile,Beef and veal,1995,15.74
CHL,Chile,Beef and veal,1996,16.344
CHL,Chile,Beef and veal,1997,17.371
CHL,Chile,Beef and veal,1998,16.323
CHL,Chile,Beef and veal,1999,15.314
CHL,Chile,Beef and veal,2000,15.582
CHL,Chile,Beef and veal,2001,12.527
