year,value,category,type
2008-09,39.10419472,Beef,foodpday
2008-09,8.444954941,Lamb,foodpday
2008-09,8.862427096,Pork,foodpday
2008-09,29.44571787,Poultry,foodpday
2008-09,16.7664227,Total fish,foodpday
2008-09,3.890867375,Beef,GHG (kgCO₂eq) 
2008-09,0.335264711,Lamb,GHG (kgCO₂eq) 
2008-09,0.109007853,Pork,GHG (kgCO₂eq) 
2008-09,0.291512607,Poultry,GHG (kgCO₂eq) 
2008-09,0.228023349,Total fish,GHG (kgCO₂eq) 
2008-09,12.75578832,Beef,Land Use (m²)
2008-09,3.1,Lamb,Land Use (m²)
2008-09,0.2,Pork,Land Use (m²)
2008-09,0.4,Poultry,Land Use (m²)
2008-09,0.1,Total fish,Land Use (m²)
2008-09,56.74018654,Beef,Water Use (L)
2008-09,15.22625376,Lamb,Water Use (L)
2008-09,15.91691906,Pork,Water Use (L)
2008-09,19.43417379,Poultry,Water Use (L)
2008-09,61.88486619,Total fish,Water Use (L)
2009-10,39.53983885,Beef,foodpday
2009-10,6.615849765,Lamb,foodpday
2009-10,6.53585539,Pork,foodpday
2009-10,28.88925546,Poultry,foodpday
2009-10,16.85008101,Total fish,foodpday
2009-10,3.934213966,Beef,GHG (kgCO₂eq) 
2009-10,0.262649236,Lamb,GHG (kgCO₂eq) 
2009-10,0.080391021,Pork,GHG (kgCO₂eq) 
2009-10,0.286003629,Poultry,GHG (kgCO₂eq) 
2009-10,0.229161102,Total fish,GHG (kgCO₂eq) 
2009-10,12.89789543,Beef,Land Use (m²)
2009-10,2.4,Lamb,Land Use (m²)
2009-10,0.1,Pork,Land Use (m²)
2009-10,0.4,Poultry,Land Use (m²)
2009-10,0.1,Total fish,Land Use (m²)
2009-10,57.37230617,Beef,Water Use (L)
2009-10,11.92837713,Lamb,Water Use (L)
2009-10,11.73839628,Pork,Water Use (L)
2009-10,19.0669086,Poultry,Water Use (L)
2009-10,62.19364901,Total fish,Water Use (L)
2010-11,38.85871562,Beef,foodpday
2010-11,7.649540288,Lamb,foodpday
2010-11,6.308401203,Pork,foodpday
2010-11,30.4109098,Poultry,foodpday
2010-11,16.11541201,Total fish,foodpday
2010-11,3.866442204,Beef,GHG (kgCO₂eq) 
2010-11,0.303686749,Lamb,GHG (kgCO₂eq) 
2010-11,0.077593335,Pork,GHG (kgCO₂eq) 
2010-11,0.301068007,Poultry,GHG (kgCO₂eq) 
2010-11,0.219169603,Total fish,GHG (kgCO₂eq) 
2010-11,12.67571304,Beef,Land Use (m²)
