year,value,category
2008-09,94.49130949,Total fruit
2009-10,92.73742749,Total fruit
2010-11,91.78009688,Total fruit
2011-12,90.7514835,Total fruit
2012-13,96.10088526,Total fruit
2013-14,92.08470916,Total fruit
2014-15,93.35139053,Total fruit
2015-16,95.81767961,Total fruit
2016-17,97.5698748,Total fruit
2017-18,101.904742,Total fruit
2018-19,98.49451041,Total fruit
2008-09,139.6595868,Total vegetables
2009-10,129.3170925,Total vegetables
2010-11,134.5992002,Total vegetables
2011-12,133.1067625,Total vegetables
2012-13,140.5621352,Total vegetables
2013-14,133.1925481,Total vegetables
2014-15,133.5295595,Total vegetables
2015-16,135.7866561,Total vegetables
2016-17,143.826107,Total vegetables
2017-18,148.9337127,Total vegetables
2018-19,144.8870513,Total vegetables
2008-09,234.1508963,Total fruit and vegetables
2009-10,222.05452,Total fruit and vegetables
2010-11,226.3792971,Total fruit and vegetables
2011-12,223.858246,Total fruit and vegetables
2012-13,236.6630204,Total fruit and vegetables
2013-14,225.2772572,Total fruit and vegetables
2014-15,226.88095,Total fruit and vegetables
2015-16,231.6043357,Total fruit and vegetables
2016-17,241.3959818,Total fruit and vegetables
2017-18,250.8384547,Total fruit and vegetables
2018-19,243.3815617,Total fruit and vegetables
2008-09,39.10419472,Beef
2009-10,39.53983885,Beef
2010-11,38.85871562,Beef
2011-12,35.55995207,Beef
2012-13,36.59259345,Beef
2013-14,35.45181371,Beef
2014-15,35.15934393,Beef
2015-16,35.60702538,Beef
2016-17,35.90122656,Beef
2017-18,36.47330356,Beef
2018-19,32.2757904,Beef
2008-09,8.444954941,Lamb
2009-10,6.615849765,Lamb
2010-11,7.649540288,Lamb
2011-12,6.003186114,Lamb
2012-13,8.738099329,Lamb
2013-14,7.0196069,Lamb
2014-15,6.732821138,Lamb
2015-16,7.403914337,Lamb
2016-17,7.326562266,Lamb
2017-18,6.151064921,Lamb
2018-19,6.440014132,Lamb
2008-09,8.862427096,Pork
2009-10,6.53585539,Pork
2010-11,6.308401203,Pork
2011-12,8.063686367,Pork
2012-13,8.000131701,Pork
2013-14,7.679842865,Pork
2014-15,8.020260568,Pork
2015-16,7.148833434,Pork
2016-17,8.951041142,Pork
2017-18,7.096796828,Pork
2018-19,6.771688453,Pork
2008-09,0.051215067,Processed poultry
2009-10,0.102252846,Processed poultry
2010-11,0.062785942,Processed poultry
2011-12,0.049815195,Processed poultry
2012-13,0.070776942,Processed poultry
2013-14,0.025441067,Processed poultry
2014-15,0.0372949,Processed poultry
2015-16,0.037160584,Processed poultry
2016-17,0.017877095,Processed poultry
2017-18,0.010516928,Processed poultry
2018-19,0.01023766,Processed poultry
2008-09,15.0402069,Processed red meat
2009-10,14.97001815,Processed red meat
2010-11,15.11688363,Processed red meat
2011-12,15.51941613,Processed red meat
2012-13,14.57333026,Processed red meat
2013-14,15.62589271,Processed red meat
2014-15,14.16522138,Processed red meat
2015-16,14.11548756,Processed red meat
2016-17,13.76364449,Processed red meat
2017-18,13.5175776,Processed red meat
2018-19,12.8607409,Processed red meat
2008-09,29.44571787,Poultry
2009-10,28.88925546,Poultry
2010-11,30.4109098,Poultry
2011-12,28.89800917,Poultry
2012-13,29.41069843,Poultry
2013-14,31.02666973,Poultry
2014-15,35.01729176,Poultry
2015-16,34.11438612,Poultry
2016-17,32.81909264,Poultry
2017-18,34.30442466,Poultry
2018-19,31.70153834,Poultry
2008-09,16.7664227,Total fish
2009-10,16.85008101,Total fish
2010-11,16.11541201,Total fish
2011-12,16.15096732,Total fish
2012-13,16.75338242,Total fish
2013-14,16.2341137,Total fish
2014-15,16.08026161,Total fish
2015-16,17.01701934,Total fish
2016-17,16.02217062,Total fish
2017-18,16.61458037,Total fish
2018-19,17.09955545,Total fish
2008-09,63.37470451,Total red meat
2009-10,59.10186739,Total red meat
2010-11,60.27281549,Total red meat
2011-12,57.37942991,Total red meat
2012-13,55.89242357,Total red meat
2013-14,56.54990202,Total red meat
2014-15,53.85411627,Total red meat
2015-16,50.78433655,Total red meat
2016-17,51.27447914,Total red meat
2017-18,48.64627529,Total red meat
2018-19,47.78732857,Total red meat
2008-09,30.08617177,Total white meat
2009-10,29.35506965,Total white meat
2010-11,30.81820626,Total white meat
2011-12,29.3097782,Total white meat
2012-13,30.05562254,Total white meat
2013-14,31.5757335,Total white meat
2014-15,35.43019058,Total white meat
2015-16,34.59264074,Total white meat
2016-17,33.31662176,Total white meat
2017-18,34.62423683,Total white meat
2018-19,32.1750078,Total white meat
2008-09,93.46087629,Total meat
2009-10,88.45693704,Total meat
2010-11,91.09102175,Total meat
2011-12,86.68920811,Total meat
2012-13,85.94804611,Total meat
2013-14,88.12563552,Total meat
2014-15,89.28430686,Total meat
2015-16,85.37697729,Total meat
2016-17,84.59110091,Total meat
2017-18,83.27051212,Total meat
2018-19,79.96233637,Total meat
