Year,World Population (1000)
2001,6193663.732
2002,6272724.236
2003,6351855.732
2004,6431527.221
2005,6511724.848
2006,6592711.655
2007,6674181.848
2008,6757000.414
2009,6839553.692
2010,6921854.591
2011,7003760.44
2012,7089254.548
2013,7175500.378
2014,7261846.543
2015,7347679.005
2016,7433569.33
2017,7519183.459
2018,7602454.161
2019,7683372.259
2020,7761620.146
2021,7831742
2022,7910003
2023,7987314
2024,8063642
2025,8138971
2026,8213276
2027,8286546
2028,8358787
2029,8429999
2030,8500190
2031,8569347
2032,8637443
2033,8704424
2034,8770284
2035,8835051
2036,8898735
2037,8961396
2038,9023031
2039,9083646
2040,9143220
2041,9201714
2042,9259081
2043,9315314
2044,9370366
2045,9424214
2046,9476828
2047,9528225
2048,9578391
2049,9627322
2050,9674665
