Country,Series,Year,NY.GDP.PCAP.CD
Africa Eastern and Southern,GDP per capita (current US$),2016,1429.59604466631
Africa Eastern and Southern,GDP per capita (current US$),2017,1571.3070525457
Africa Eastern and Southern,GDP per capita (current US$),2018,1573.22158453912
Africa Eastern and Southern,GDP per capita (current US$),2019,1527.73455838966
Africa Eastern and Southern,GDP per capita (current US$),2020,1356.69926745665
Africa Western and Central,GDP per capita (current US$),2016,1673.83552685464
Africa Western and Central,GDP per capita (current US$),2017,1613.47355303429
Africa Western and Central,GDP per capita (current US$),2018,1704.1396025899
Africa Western and Central,GDP per capita (current US$),2019,1777.91867152634
Africa Western and Central,GDP per capita (current US$),2020,1710.07336335627
Arab World,GDP per capita (current US$),2016,5942.34511172475
Arab World,GDP per capita (current US$),2017,5959.73801757908
Arab World,GDP per capita (current US$),2018,6473.54953612828
Arab World,GDP per capita (current US$),2019,6458.04387813332
Arab World,GDP per capita (current US$),2020,5586.78178314451
Caribbean small states,GDP per capita (current US$),2016,9574.22148611917
Caribbean small states,GDP per capita (current US$),2017,9800.96588647345
Caribbean small states,GDP per capita (current US$),2018,10234.2111791244
Caribbean small states,GDP per capita (current US$),2019,10291.8073190241
Caribbean small states,GDP per capita (current US$),2020,8873.52192883729
Central Europe and the Baltics,GDP per capita (current US$),2016,12829.8963422228
Central Europe and the Baltics,GDP per capita (current US$),2017,14248.7481226245
Central Europe and the Baltics,GDP per capita (current US$),2018,16045.9536352205
Central Europe and the Baltics,GDP per capita (current US$),2019,16346.5549412626
Central Europe and the Baltics,GDP per capita (current US$),2020,16168.2960909942
Early-demographic dividend,GDP per capita (current US$),2016,3257.3919152248
Early-demographic dividend,GDP per capita (current US$),2017,3473.4628607271
Early-demographic dividend,GDP per capita (current US$),2018,3452.37858465588
Early-demographic dividend,GDP per capita (current US$),2019,3503.43973285427
Early-demographic dividend,GDP per capita (current US$),2020,3201.65253167346
East Asia & Pacific,GDP per capita (current US$),2016,9845.91417467033
East Asia & Pacific,GDP per capita (current US$),2017,10442.859498698
East Asia & Pacific,GDP per capita (current US$),2018,11297.6018024587
East Asia & Pacific,GDP per capita (current US$),2019,11478.0331318664
East Asia & Pacific,GDP per capita (current US$),2020,11477.7925922681
East Asia & Pacific (excluding high income),GDP per capita (current US$),2016,6575.514120343
East Asia & Pacific (excluding high income),GDP per capita (current US$),2017,7131.63134907767
East Asia & Pacific (excluding high income),GDP per capita (current US$),2018,7924.23430084574
East Asia & Pacific (excluding high income),GDP per capita (current US$),2019,8145.3454372488
East Asia & Pacific (excluding high income),GDP per capita (current US$),2020,8254.67087102428
East Asia & Pacific (IDA & IBRD countries),GDP per capita (current US$),2016,6648.81244815453
East Asia & Pacific (IDA & IBRD countries),GDP per capita (current US$),2017,7210.91699438358
East Asia & Pacific (IDA & IBRD countries),GDP per capita (current US$),2018,8012.14971049584
East Asia & Pacific (IDA & IBRD countries),GDP per capita (current US$),2019,8235.58367678187
East Asia & Pacific (IDA & IBRD countries),GDP per capita (current US$),2020,8346.03881045794
Euro area,GDP per capita (current US$),2016,35139.8235851443
Euro area,GDP per capita (current US$),2017,37062.1403612769
Euro area,GDP per capita (current US$),2018,40038.1871666259
Euro area,GDP per capita (current US$),2019,39189.4378399183
Euro area,GDP per capita (current US$),2020,37968.2581452987
Europe & Central Asia,GDP per capita (current US$),2016,22446.1687503424
Europe & Central Asia,GDP per capita (current US$),2017,23670.0797144695
Europe & Central Asia,GDP per capita (current US$),2018,25290.3314474501
Europe & Central Asia,GDP per capita (current US$),2019,24907.3960416069
Europe & Central Asia,GDP per capita (current US$),2020,23960.9864837828
Europe & Central Asia (excluding high income),GDP per capita (current US$),2016,7189.2864598437
Europe & Central Asia (excluding high income),GDP per capita (current US$),2017,8026.77331662083
Europe & Central Asia (excluding high income),GDP per capita (current US$),2018,8213.36006618727
Europe & Central Asia (excluding high income),GDP per capita (current US$),2019,8343.55043110518
