,country,year_x,realgdp,year_y,pisamath
10,AUS,2018.0,57180.7794,2018.0,491.0
11,AUT,2018.0,51461.43322,2018.0,499.0
18,BEL,2018.0,47519.5531,2018.0,508.0
26,BRA,2018.0,9151.381732,2018.0,384.0
35,CAN,2018.0,46454.743389999996,2018.0,512.0
39,CHL,2018.0,15888.14436,2018.0,417.0
41,COL,2018.0,6729.583331999999,2018.0,391.0
45,CRI,2018.0,12485.4239,2018.0,402.0
51,CZE,2018.0,23419.73561,2018.0,499.0
52,DNK,2018.0,61591.92887,2018.0,509.0
61,EST,2018.0,23052.30126,2018.0,523.0
66,FIN,2018.0,49964.499910000006,2018.0,507.0
67,FRA,2018.0,41572.485010000004,2018.0,495.0
72,DEU,2018.0,47950.180810000005,2018.0,500.0
75,GRC,2018.0,19747.34258,2018.0,451.0
86,HUN,2018.0,16427.37276,2018.0,481.0
87,ISL,2018.0,74469.80406000001,2018.0,495.0
89,IDN,2018.0,3893.859578,2018.0,379.0
92,IRL,2018.0,79068.97461,2018.0,500.0
94,ISR,2018.0,42063.45313,2018.0,463.0
95,ITA,2018.0,34605.26273,2018.0,487.0
97,JPN,2018.0,39808.168560000006,2018.0,527.0
103,KOR,2018.0,33422.94421,2018.0,526.0
107,LVA,2018.0,17856.307119999998,2018.0,496.0
113,LTU,2018.0,19176.81215,2018.0,481.0
114,LUX,2018.0,117197.4817,2018.0,483.0
125,MEX,2018.0,9686.984927,2018.0,409.0
137,NLD,2018.0,53018.62936,2018.0,519.0
139,NZL,2018.0,43306.07,2018.0,494.0
145,NOR,2018.0,82267.80932,2018.0,501.0
154,POL,2018.0,15468.482219999998,2018.0,516.0
155,PRT,2018.0,23551.04829,2018.0,492.0
159,RUS,2018.0,11287.35528,2018.0,488.0
171,SVK,2018.0,19380.51351,2018.0,486.0
172,SVN,2018.0,26104.10279,2018.0,509.0
177,ESP,2018.0,30349.7521,2018.0,481.0
185,SWE,2018.0,54589.06039,2018.0,502.0
186,CHE,2018.0,86388.40495,2018.0,515.0
196,TUR,2018.0,9454.348443,2018.0,454.0
203,GBR,2018.0,43646.95197,2018.0,502.0
204,USA,2018.0,63064.418410000006,2018.0,478.0
