Country,Series,Year,NY.GDP.PCAP.CD,country3
Afghanistan,GDP per capita (current US$),2016,512.0127781,AFG
Afghanistan,GDP per capita (current US$),2017,516.6798622,AFG
Afghanistan,GDP per capita (current US$),2018,485.6684187,AFG
Afghanistan,GDP per capita (current US$),2019,494.1793499,AFG
Afghanistan,GDP per capita (current US$),2020,516.7478708,AFG
Albania,GDP per capita (current US$),2016,4124.05539,ALB
Albania,GDP per capita (current US$),2017,4531.019374,ALB
Albania,GDP per capita (current US$),2018,5287.663694,ALB
Albania,GDP per capita (current US$),2019,5395.659532,ALB
Albania,GDP per capita (current US$),2020,5246.292306,ALB
Algeria,GDP per capita (current US$),2016,3946.452447,DZA
Algeria,GDP per capita (current US$),2017,4109.698217,DZA
Algeria,GDP per capita (current US$),2018,4142.018558,DZA
Algeria,GDP per capita (current US$),2019,3989.668276,DZA
Algeria,GDP per capita (current US$),2020,3306.858208,DZA
American Samoa,GDP per capita (current US$),2016,12038.2497,ASM
American Samoa,GDP per capita (current US$),2017,11003.82976,ASM
American Samoa,GDP per capita (current US$),2018,11521.60978,ASM
American Samoa,GDP per capita (current US$),2019,11715.36014,ASM
American Samoa,GDP per capita (current US$),2020,12844.90099,ASM
Andorra,GDP per capita (current US$),2016,37475.63506,AND
Andorra,GDP per capita (current US$),2017,38964.90448,AND
Andorra,GDP per capita (current US$),2018,41791.96984,AND
Andorra,GDP per capita (current US$),2019,40897.33087,AND
Andorra,GDP per capita (current US$),2020,,AND
Angola,GDP per capita (current US$),2016,3506.073128,AGO
Angola,GDP per capita (current US$),2017,4095.810057,AGO
Angola,GDP per capita (current US$),2018,3289.643995,AGO
Angola,GDP per capita (current US$),2019,2809.626088,AGO
Angola,GDP per capita (current US$),2020,1776.166868,AGO
Antigua and Barbuda,GDP per capita (current US$),2016,15198.74297,ATG
Antigua and Barbuda,GDP per capita (current US$),2017,15383.5764,ATG
Antigua and Barbuda,GDP per capita (current US$),2018,16679.59166,ATG
Antigua and Barbuda,GDP per capita (current US$),2019,17376.64968,ATG
Antigua and Barbuda,GDP per capita (current US$),2020,13992.74448,ATG
Argentina,GDP per capita (current US$),2016,12790.24247,ARG
Argentina,GDP per capita (current US$),2017,14613.04182,ARG
Argentina,GDP per capita (current US$),2018,11795.15939,ARG
Argentina,GDP per capita (current US$),2019,10056.63794,ARG
Argentina,GDP per capita (current US$),2020,8579.017773,ARG
Armenia,GDP per capita (current US$),2016,3591.828052,ARM
Armenia,GDP per capita (current US$),2017,3914.527854,ARM
Armenia,GDP per capita (current US$),2018,4220.540321,ARM
Armenia,GDP per capita (current US$),2019,4604.646324,ARM
Armenia,GDP per capita (current US$),2020,4266.018074,ARM
Aruba,GDP per capita (current US$),2016,28452.17061,ABW
Aruba,GDP per capita (current US$),2017,29350.80502,ABW
Aruba,GDP per capita (current US$),2018,30253.27936,ABW
Aruba,GDP per capita (current US$),2019,,ABW
Aruba,GDP per capita (current US$),2020,,ABW
Australia,GDP per capita (current US$),2016,49881.76371,AUS
Australia,GDP per capita (current US$),2017,53934.25018,AUS
Australia,GDP per capita (current US$),2018,57180.7794,AUS
Australia,GDP per capita (current US$),2019,54875.28596,AUS
Australia,GDP per capita (current US$),2020,51692.84275,AUS
Austria,GDP per capita (current US$),2016,45276.83144,AUT
Austria,GDP per capita (current US$),2017,47312.00623,AUT
Austria,GDP per capita (current US$),2018,51461.43322,AUT
Austria,GDP per capita (current US$),2019,50114.40111,AUT
Austria,GDP per capita (current US$),2020,48586.80132,AUT
Azerbaijan,GDP per capita (current US$),2016,3880.738731,AZE
Azerbaijan,GDP per capita (current US$),2017,4147.089716,AZE
Azerbaijan,GDP per capita (current US$),2018,4739.84171,AZE
Azerbaijan,GDP per capita (current US$),2019,4805.753718,AZE
Azerbaijan,GDP per capita (current US$),2020,4221.407478,AZE
"Bahamas, The",GDP per capita (current US$),2016,31732.91914,BHS
"Bahamas, The",GDP per capita (current US$),2017,32376.50917,BHS
"Bahamas, The",GDP per capita (current US$),2018,33290.02814,BHS
